; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10202,19.81799569,184.3827652,129.3495372,14.02033004,184.3827652,129.3495372,19.89158715,184.3827652,129.3495372,14.01058183,184.3827652,129.3495372,13.99861507,184.3827652,129.3495372,25.57094174,185.836193,129.3495372,21.07409434,186.1020788,129.3495372,13.84334686,185.836193,129.3495372,13.80926861,185.836193,129.3495372,13.83737909,185.836193,129.3495372,14.00538742,184.3827652,129.3495372,13.99402783,184.3827652,129.3495372,14.00203756,184.3827652,129.3495372,13.8875048,185.836193,129.3495372,13.89135534,185.836193,129.3495372,13.82975792,185.836193,129.3495372
10203,13.56152672,184.3827652,129.3495372,13.55461684,184.3827652,129.3495372,13.5636429,184.3827652,129.3495372,13.54510963,184.3827652,129.3495372,13.53343872,184.3827652,129.3495372,24.59731179,185.836193,129.3495372,20.32805017,186.1020788,129.3495372,13.29008435,185.836193,129.3495372,13.25700028,185.836193,129.3495372,13.28429068,185.836193,129.3495372,13.54004364,184.3827652,129.3495372,13.52896489,184.3827652,129.3495372,13.53677659,184.3827652,129.3495372,13.33295406,185.836193,129.3495372,13.33669227,185.836193,129.3495372,13.27689185,185.836193,129.3495372
10204,13.56152672,184.3827652,129.3495372,13.55461684,184.3827652,129.3495372,13.5636429,184.3827652,129.3495372,13.54510963,184.3827652,129.3495372,13.53343872,184.3827652,129.3495372,24.30656217,185.836193,129.3495372,13.7200334,186.1020788,129.3495372,13.18713171,185.836193,129.3495372,13.15423264,185.836193,129.3495372,13.18137043,185.836193,129.3495372,13.54004364,184.3827652,129.3495372,13.52896489,184.3827652,129.3495372,13.53677659,184.3827652,129.3495372,13.2297617,185.836193,129.3495372,13.23347901,185.836193,129.3495372,13.17401297,185.836193,129.3495372
10205,14.13883374,184.3827652,129.3495372,14.13170682,184.3827652,129.3495372,14.1410164,184.3827652,129.3495372,14.12190098,184.3827652,129.3495372,14.10986347,184.3827652,129.3495372,25.51660335,185.836193,129.3495372,20.6141526,186.1020788,129.3495372,13.59725913,185.836193,129.3495372,13.56362309,185.836193,129.3495372,13.5913688,185.836193,129.3495372,14.11667586,184.3827652,129.3495372,14.10524911,184.3827652,129.3495372,14.11330619,184.3827652,129.3495372,13.64084408,185.836193,129.3495372,18.93704146,185.836193,129.3495372,13.58384652,185.836193,129.3495372
10206,20.39151261,184.3827652,129.3495372,14.26898233,184.3827652,129.3495372,20.26983437,184.3827652,129.3495372,14.25910545,184.3827652,129.3495372,14.24698073,184.3827652,129.3495372,27.26144644,185.836193,129.3495372,21.06160246,186.1020788,129.3495372,18.79972111,185.836193,129.3495372,24.33875667,185.836193,129.3495372,24.62180566,185.836193,129.3495372,14.25384248,184.3827652,129.3495372,14.24233295,184.3827652,129.3495372,14.25044839,184.3827652,129.3495372,24.35921115,185.836193,129.3495372,25.68712023,185.836193,129.3495372,13.71549816,185.836193,129.3495372
10207,24.68267133,184.3827652,129.3495372,21.73083095,184.3827652,129.3495372,22.35291621,184.3827652,129.3495372,21.53812006,184.3827652,129.3495372,21.57092492,184.3827652,129.3495372,28.70266817,185.836193,129.3495372,22.08223877,186.1020788,129.3495372,24.28626763,185.836193,129.3495372,25.54395366,185.836193,129.3495372,26.18438229,185.836193,129.3495372,15.70433761,184.3827652,129.3495372,15.69195271,184.3827652,129.3495372,15.70068539,184.3827652,129.3495372,25.40402487,185.836193,129.3495372,26.61031845,185.836193,129.3495372,24.2128071,185.836193,129.3495372
10208,24.30680589,184.3827652,129.3495372,20.8099224,184.3827652,129.3495372,23.88767007,184.3827652,129.3495372,20.52134426,184.3827652,129.3495372,20.76641338,184.3827652,129.3495372,28.40910753,185.836193,129.3495372,21.90621124,186.1020788,129.3495372,24.08536461,185.836193,129.3495372,25.2760554,185.836193,129.3495372,26.60575332,185.836193,129.3495372,17.26091816,184.3827652,129.3495372,17.13822969,184.3827652,129.3495372,14.59008048,184.3827652,129.3495372,25.02486948,185.836193,129.3495372,26.22356098,185.836193,129.3495372,24.62374929,185.836193,129.3495372
10209,23.95515796,184.3827652,129.3495372,19.8095485,184.3827652,129.3495372,23.03609101,184.3827652,129.3495372,14.02404296,184.3827652,129.3495372,20.01556349,184.3827652,129.3495372,26.94583422,185.836193,129.3495372,13.78470292,186.1020788,129.3495372,13.24913613,185.836193,129.3495372,23.92086889,185.836193,129.3495372,25.10840141,185.836193,129.3495372,14.01884483,184.3827652,129.3495372,14.00747712,184.3827652,129.3495372,14.01549257,184.3827652,129.3495372,23.72990275,185.836193,129.3495372,24.63416471,185.836193,129.3495372,23.24885658,185.836193,129.3495372
10210,13.77460176,184.3827652,129.3495372,4.783937629,184.3827652,129.3495372,10.9562586,184.3827652,129.3495372,4.778969054,184.3827652,129.3495372,4.772869703,184.3827652,129.3495372,15.55371207,185.836193,129.3495372,4.819939732,186.1020788,129.3495372,4.65382032,185.836193,129.3495372,4.636255015,185.836193,129.3495372,4.65074429,185.836193,129.3495372,4.77632151,184.3827652,129.3495372,4.770531629,184.3827652,129.3495372,4.774614114,184.3827652,129.3495372,4.676581112,185.836193,129.3495372,4.678565836,185.836193,129.3495372,4.646816032,185.836193,129.3495372
10211,4.787548807,184.3827652,129.3495372,4.783937629,184.3827652,129.3495372,4.788654747,184.3827652,129.3495372,4.778969054,184.3827652,129.3495372,4.772869703,184.3827652,129.3495372,4.703092586,185.836193,129.3495372,4.819939732,186.1020788,129.3495372,4.65382032,185.836193,129.3495372,4.636255015,185.836193,129.3495372,4.65074429,185.836193,129.3495372,4.77632151,184.3827652,129.3495372,4.770531629,184.3827652,129.3495372,4.774614114,184.3827652,129.3495372,4.676581112,185.836193,129.3495372,4.678565836,185.836193,129.3495372,4.646816032,185.836193,129.3495372
