; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10203,13.17256523,148.0324497,114.1900973,13.16071953,148.0324497,114.1900973,13.17460119,148.0324497,114.1900973,13.15818405,148.0324497,114.1900973,13.14846271,148.0324497,114.1900973,13.01581411,150.1505469,114.1900973,19.1474952,150.564282,114.1900973,12.88920127,150.1505469,114.1900973,12.8704684,150.1505469,114.1900973,12.91578051,150.1505469,114.1900973,13.1350911,148.0324497,114.1900973,13.13268035,148.0324497,114.1900973,13.13068601,148.0324497,114.1900973,12.90040929,150.1505469,114.1900973,12.95226323,150.1505469,114.1900973,12.85449831,150.1505469,114.1900973
10204,13.17602849,148.0324497,114.1900973,13.16418054,148.0324497,114.1900973,13.17806484,148.0324497,114.1900973,13.16164458,148.0324497,114.1900973,13.15192139,148.0324497,114.1900973,13.01918627,150.1505469,114.1900973,19.16283839,150.564282,114.1900973,12.89255024,150.1505469,114.1900973,12.87381393,150.1505469,114.1900973,12.91913434,150.1505469,114.1900973,13.13854724,148.0324497,114.1900973,13.13613603,148.0324497,114.1900973,13.13414131,148.0324497,114.1900973,12.90376031,150.1505469,114.1900973,12.95562375,150.1505469,114.1900973,12.85784092,150.1505469,114.1900973
10205,13.17256523,148.0324497,114.1900973,13.16071953,148.0324497,114.1900973,13.17460119,148.0324497,114.1900973,13.15818405,148.0324497,114.1900973,13.14846271,148.0324497,114.1900973,17.49628192,150.1505469,114.1900973,19.24873509,150.564282,114.1900973,12.88920127,150.1505469,114.1900973,12.8704684,150.1505469,114.1900973,17.32537315,150.1505469,114.1900973,13.1350911,148.0324497,114.1900973,13.13268035,148.0324497,114.1900973,13.13068601,148.0324497,114.1900973,12.90040929,150.1505469,114.1900973,12.95226323,150.1505469,114.1900973,12.85449831,150.1505469,114.1900973
10206,13.17602849,148.0324497,114.1900973,13.16418054,148.0324497,114.1900973,13.17806484,148.0324497,114.1900973,13.16164458,148.0324497,114.1900973,13.15192139,148.0324497,114.1900973,21.93457998,150.1505469,114.1900973,19.06158788,150.564282,114.1900973,12.89255024,150.1505469,114.1900973,12.87381393,150.1505469,114.1900973,21.63398516,150.1505469,114.1900973,13.13854724,148.0324497,114.1900973,13.13613603,148.0324497,114.1900973,13.13414131,148.0324497,114.1900973,12.90376031,150.1505469,114.1900973,12.95562375,150.1505469,114.1900973,12.85784092,150.1505469,114.1900973
10207,13.21968031,148.0324497,114.1900973,13.20780399,148.0324497,114.1900973,13.22172154,148.0324497,114.1900973,13.20526195,148.0324497,114.1900973,13.19551547,148.0324497,114.1900973,22.74033788,150.1505469,114.1900973,19.78800642,150.564282,114.1900973,12.9347614,150.1505469,114.1900973,17.52561441,150.1505469,114.1900973,22.51789942,150.1505469,114.1900973,13.18210929,148.0324497,114.1900973,13.17969231,148.0324497,114.1900973,13.17769281,148.0324497,114.1900973,17.48336428,150.1505469,114.1900973,17.65491119,150.1505469,114.1900973,12.89997195,150.1505469,114.1900973
10208,20.2204198,148.0324497,114.1900973,13.28264521,148.0324497,114.1900973,13.29661981,148.0324497,114.1900973,13.28009276,148.0324497,114.1900973,13.27030632,148.0324497,114.1900973,23.005747,150.1505469,114.1900973,20.12693556,150.564282,114.1900973,13.00717969,150.1505469,114.1900973,22.09596099,150.1505469,114.1900973,23.31154242,150.1505469,114.1900973,13.25684519,148.0324497,114.1900973,13.2544183,148.0324497,114.1900973,13.25241061,148.0324497,114.1900973,21.88004883,150.1505469,114.1900973,13.07064862,150.1505469,114.1900973,12.97225278,150.1505469,114.1900973
10209,17.55280938,148.0324497,114.1900973,13.18500802,148.0324497,114.1900973,13.19890819,148.0324497,114.1900973,17.56653934,148.0324497,114.1900973,13.17273484,148.0324497,114.1900973,22.45215541,150.1505469,114.1900973,13.32525949,150.564282,114.1900973,12.91270343,150.1505469,114.1900973,12.89394648,150.1505469,114.1900973,21.71874268,150.1505469,114.1900973,13.15934541,148.0324497,114.1900973,13.15693144,148.0324497,114.1900973,13.15493444,148.0324497,114.1900973,12.92392586,150.1505469,114.1900973,12.97584646,150.1505469,114.1900973,12.87795586,150.1505469,114.1900973
10210,12.530602,148.0324497,114.1900973,15.1457806,148.0324497,114.1900973,12.53256625,148.0324497,114.1900973,12.51672747,148.0324497,114.1900973,12.50734859,148.0324497,114.1900973,21.40153208,150.1505469,114.1900973,12.32190587,150.564282,114.1900973,11.9404858,150.1505469,114.1900973,11.92272507,150.1505469,114.1900973,11.96568569,150.1505469,114.1900973,12.49444806,148.0324497,114.1900973,12.49212224,148.0324497,114.1900973,12.49019815,148.0324497,114.1900973,11.95111217,150.1505469,114.1900973,12.00027513,150.1505469,114.1900973,11.90758376,150.1505469,114.1900973
10211,11.60906805,148.0324497,114.1900973,14.15667263,148.0324497,114.1900973,11.61092933,148.0324497,114.1900973,18.60036824,148.0324497,114.1900973,11.58703353,148.0324497,114.1900973,20.29198218,150.1505469,114.1900973,11.37234855,150.564282,114.1900973,11.02039506,150.1505469,114.1900973,11.00357715,150.1505469,114.1900973,11.04425723,150.1505469,114.1900973,11.57480921,148.0324497,114.1900973,11.5726053,148.0324497,114.1900973,11.57078207,148.0324497,114.1900973,11.03045734,150.1505469,114.1900973,11.07701051,150.1505469,114.1900973,10.98923961,150.1505469,114.1900973
10212,11.49177522,148.0324497,114.1900973,11.48102213,148.0324497,114.1900973,11.4936234,148.0324497,114.1900973,11.47872052,148.0324497,114.1900973,11.46989584,148.0324497,114.1900973,11.07477404,150.1505469,114.1900973,11.31157974,150.564282,114.1900973,10.96151201,150.1505469,114.1900973,10.94475444,150.1505469,114.1900973,10.98528858,150.1505469,114.1900973,11.45775759,148.0324497,114.1900973,11.4555692,148.0324497,114.1900973,11.45375881,148.0324497,114.1900973,10.97153819,150.1505469,114.1900973,11.01792434,150.1505469,114.1900973,10.93046834,150.1505469,114.1900973
10213,11.46246824,148.0324497,114.1900973,11.4517342,148.0324497,114.1900973,11.46431314,148.0324497,114.1900973,11.44943667,148.0324497,114.1900973,11.44062762,148.0324497,114.1900973,11.04623801,150.1505469,114.1900973,11.28233238,150.564282,114.1900973,10.93317226,150.1505469,114.1900973,10.91644373,150.1505469,114.1900973,10.95690762,150.1505469,114.1900973,11.42851088,148.0324497,114.1900973,11.42632636,148.0324497,114.1900973,11.42451918,148.0324497,114.1900973,10.94318106,150.1505469,114.1900973,10.98948683,150.1505469,114.1900973,10.90218238,150.1505469,114.1900973
10214,11.48897006,148.0324497,114.1900973,11.4782188,148.0324497,114.1900973,11.49081793,148.0324497,114.1900973,11.47591758,148.0324497,114.1900973,11.4670944,148.0324497,114.1900973,11.07223387,150.1505469,114.1900973,11.30897625,150.564282,114.1900973,10.95898931,150.1505469,114.1900973,10.94223433,150.1505469,114.1900973,10.98276221,150.1505469,114.1900973,11.45495821,148.0324497,114.1900973,11.45277018,148.0324497,114.1900973,11.4509601,148.0324497,114.1900973,10.96901395,150.1505469,114.1900973,11.01539294,150.1505469,114.1900973,10.92795043,150.1505469,114.1900973
